demand,date,unit_price,unit_cost
154.9,2024-03-03,36.52,17.88
167.9,2024-03-04,35.21,18.58
185.7,2024-03-05,34.69,18.7
222.5,2024-03-06,34.43,17.84
174.6,2024-03-07,34.45,17.71
190.2,2024-03-08,34.33,17.91
171.7,2024-03-09,34.92,18.78
171.2,2024-03-10,34.96,18.04
169.1,2024-03-11,35.26,18.36
189.9,2024-03-12,34.56,18.87
247.3,2024-03-13,34.84,18.68
195.5,2024-03-14,34.83,18.78
187.9,2024-03-15,35.91,18.53
180.2,2024-03-16,35.27,19.18
192.0,2024-03-17,35.48,18.37
183.7,2024-03-18,35.86,18.13
191.4,2024-03-19,35.54,18.51
206.6,2024-03-20,35.49,19.31
193.1,2024-03-21,35.42,18.91
197.4,2024-03-22,35.59,18.33
175.9,2024-03-23,35.81,17.89
181.2,2024-03-24,35.82,18.36
195.3,2024-03-25,35.94,18.45
235.6,2024-03-26,37.05,18.44
201.5,2024-03-27,35.68,18.17
193.5,2024-03-28,35.48,17.85
203.9,2024-03-29,36.72,17.94
174.8,2024-03-30,37.31,18.18
187.7,2024-03-31,36.68,18.42
183.2,2024-04-01,37.32,18.26
213.6,2024-04-02,37.82,17.82
227.3,2024-04-03,37.08,17.78
181.8,2024-04-04,37.41,18.16
178.2,2024-04-05,37.06,18.08
188.5,2024-04-06,37.26,17.86
231.9,2024-04-07,37.48,16.99
211.0,2024-04-08,38.12,17.21
216.7,2024-04-09,38.57,17.82
204.5,2024-04-10,38.31,17.91
220.7,2024-04-11,37.68,17.69
152.0,2024-04-12,37.81,17.56
183.8,2024-04-13,38.09,17.51
183.1,2024-04-14,38.34,17.62
195.5,2024-04-15,38.67,17.06
280.8,2024-04-16,37.78,17.29
177.5,2024-04-17,38.03,17.69
216.3,2024-04-18,39.39,17.44
200.7,2024-04-19,38.81,17.49
197.5,2024-04-20,38.81,17.56
164.5,2024-04-21,38.0,17.7
200.5,2024-04-22,39.13,17.46
195.6,2024-04-23,38.91,17.34
228.9,2024-04-24,37.97,17.8
225.4,2024-04-25,38.06,17.23
206.5,2024-04-26,38.9,17.75
188.4,2024-04-27,37.96,17.42
200.4,2024-04-28,38.8,18.22
217.9,2024-04-29,38.23,18.66
240.9,2024-04-30,38.72,17.65
236.6,2024-05-01,38.77,18.33
188.2,2024-05-02,39.13,17.96
190.5,2024-05-03,37.37,17.97
202.4,2024-05-04,37.43,18.06
182.7,2024-05-05,37.95,18.36
200.9,2024-05-06,38.68,18.48
237.8,2024-05-07,38.02,18.12
238.8,2024-05-08,37.06,18.18
249.9,2024-05-09,37.99,18.74
221.1,2024-05-10,37.41,18.85
190.1,2024-05-11,37.91,18.14
205.5,2024-05-12,36.66,18.38
165.9,2024-05-13,37.5,18.79
220.3,2024-05-14,37.58,19.13
239.7,2024-05-15,36.36,18.57
182.5,2024-05-16,36.75,18.65
206.1,2024-05-17,36.76,18.22
206.3,2024-05-18,36.52,18.79
228.3,2024-05-19,35.91,18.61
232.9,2024-05-20,36.65,18.33
291.6,2024-05-21,35.65,18.41
286.9,2024-05-22,36.0,19.05
199.1,2024-05-23,36.07,18.8
210.5,2024-05-24,35.91,18.76
200.3,2024-05-25,35.91,17.98
210.0,2024-05-26,34.7,17.84
213.4,2024-05-27,34.4,17.68
259.3,2024-05-28,35.47,18.3
267.9,2024-05-29,35.45,17.7
203.2,2024-05-30,35.87,17.69
238.8,2024-05-31,35.05,18.31
192.3,2024-06-01,35.03,17.35
233.1,2024-06-02,34.37,18.01
241.0,2024-06-03,35.21,17.44
242.6,2024-06-04,35.66,17.79
305.5,2024-06-05,34.79,18.42
260.5,2024-06-06,35.19,17.78
219.3,2024-06-07,35.52,17.56
211.6,2024-06-08,35.53,17.54
268.6,2024-06-09,35.43,17.5
263.9,2024-06-10,35.5,17.39
271.7,2024-06-11,33.51,17.02
257.1,2024-06-12,34.24,17.25
341.8,2024-06-13,35.33,17.92
300.8,2024-06-14,34.44,17.88
240.1,2024-06-15,35.73,17.7
312.2,2024-06-16,35.1,17.51
323.2,2024-06-17,34.72,17.72
292.1,2024-06-18,35.94,17.63
319.2,2024-06-19,35.33,17.76
315.7,2024-06-20,35.28,18.07
306.6,2024-06-21,36.18,18.01
332.8,2024-06-22,35.84,17.57
286.4,2024-06-23,35.51,17.45
255.4,2024-06-24,35.68,17.14
356.8,2024-06-25,35.55,17.58
334.6,2024-06-26,37.18,17.83
271.7,2024-06-27,37.16,17.86
235.9,2024-06-28,36.7,17.94
251.3,2024-06-29,36.49,18.13
296.4,2024-06-30,37.16,18.36
212.5,2024-07-01,36.97,17.65
262.3,2024-07-02,37.55,17.87
244.3,2024-07-03,37.6,17.92
243.1,2024-07-04,37.46,18.46
234.7,2024-07-05,37.43,18.85
218.5,2024-07-06,37.95,18.41
189.4,2024-07-07,37.78,18.52
276.6,2024-07-08,37.12,18.26
201.6,2024-07-09,38.12,18.15
245.2,2024-07-10,38.91,18.27
214.3,2024-07-11,38.01,18.97
244.8,2024-07-12,38.37,18.49
179.7,2024-07-13,38.18,18.45
188.4,2024-07-14,38.53,18.7
202.0,2024-07-15,38.32,18.54
212.4,2024-07-16,39.6,18.83
234.0,2024-07-17,38.77,18.49
239.5,2024-07-18,38.6,18.56
195.4,2024-07-19,38.77,18.6
171.3,2024-07-20,38.69,18.24
201.2,2024-07-21,39.33,18.26
223.1,2024-07-22,38.33,18.54
258.6,2024-07-23,38.26,18.35
225.7,2024-07-24,38.88,18.09
227.9,2024-07-25,38.5,18.21
232.8,2024-07-26,38.27,18.93
181.3,2024-07-27,37.66,18.06
202.1,2024-07-28,38.46,17.83
213.1,2024-07-29,38.13,18.14
205.8,2024-07-30,38.83,18.46
238.7,2024-07-31,37.76,17.85
256.3,2024-08-01,38.36,17.79
262.4,2024-08-02,38.06,17.68
170.8,2024-08-03,37.68,17.37
220.8,2024-08-04,38.48,17.69
243.3,2024-08-05,38.46,18.0
264.4,2024-08-06,37.54,17.76
227.7,2024-08-07,37.47,17.64
232.8,2024-08-08,36.48,17.07
194.1,2024-08-09,37.75,17.45
205.3,2024-08-10,37.13,17.2
222.9,2024-08-11,37.61,16.71
208.7,2024-08-12,36.75,17.33
235.2,2024-08-13,37.09,17.69
254.5,2024-08-14,36.91,17.22
237.9,2024-08-15,36.81,17.26
189.4,2024-08-16,36.25,18.06
218.4,2024-08-17,36.02,17.75
203.6,2024-08-18,35.68,17.95
213.0,2024-08-19,36.17,18.0
226.4,2024-08-20,35.58,17.83
245.4,2024-08-21,36.08,17.65
240.4,2024-08-22,34.87,17.85
174.6,2024-08-23,36.27,18.19
170.9,2024-08-24,35.79,17.88
159.7,2024-08-25,35.49,17.9
214.5,2024-08-26,35.02,17.96
229.3,2024-08-27,34.92,18.23
216.1,2024-08-28,35.02,17.85
190.0,2024-08-29,35.47,18.56
220.8,2024-08-30,35.21,18.4
213.7,2024-08-31,35.26,17.96
217.1,2024-09-01,35.46,18.74
201.4,2024-09-02,35.3,17.74
218.4,2024-09-03,35.37,17.6
221.4,2024-09-04,34.96,18.52
204.1,2024-09-05,34.51,18.14
167.1,2024-09-06,35.64,18.22
167.1,2024-09-07,35.61,18.59
196.0,2024-09-08,34.25,18.79
195.2,2024-09-09,34.97,19.15
200.0,2024-09-10,36.18,18.64
207.4,2024-09-11,35.76,18.28
240.0,2024-09-12,35.71,18.68
213.4,2024-09-13,34.24,18.4
193.0,2024-09-14,35.21,18.32
178.9,2024-09-15,35.11,18.8
168.3,2024-09-16,35.49,18.84
208.0,2024-09-17,35.6,17.87
200.3,2024-09-18,36.22,18.71
208.4,2024-09-19,35.6,18.42
198.1,2024-09-20,35.86,18.49
156.9,2024-09-21,35.64,17.99
194.9,2024-09-22,35.51,17.92
185.6,2024-09-23,36.48,18.05
200.0,2024-09-24,36.94,18.31
189.9,2024-09-25,36.54,18.04
186.7,2024-09-26,37.33,17.93
175.2,2024-09-27,36.62,18.26
159.8,2024-09-28,37.19,17.69
160.7,2024-09-29,36.13,17.3
172.2,2024-09-30,37.36,17.97
235.7,2024-10-01,38.12,17.42
190.9,2024-10-02,37.11,17.79
199.0,2024-10-03,37.78,18.02
169.7,2024-10-04,37.86,17.39
118.1,2024-10-05,37.64,17.44
219.7,2024-10-06,38.0,17.16
173.7,2024-10-07,37.89,17.52
176.5,2024-10-08,37.75,17.29
215.5,2024-10-09,38.16,16.95
207.5,2024-10-10,38.12,17.41
154.2,2024-10-11,38.37,17.77
141.1,2024-10-12,37.36,17.09
142.6,2024-10-13,38.27,17.54
174.4,2024-10-14,39.01,17.27
183.7,2024-10-15,38.86,16.94
198.1,2024-10-16,39.15,17.93
171.4,2024-10-17,38.58,17.67
150.3,2024-10-18,39.11,17.6
150.4,2024-10-19,39.39,17.37
142.7,2024-10-20,38.43,17.08
174.3,2024-10-21,38.59,17.94
182.7,2024-10-22,39.99,17.51
187.7,2024-10-23,38.38,18.31
175.8,2024-10-24,37.69,17.6
147.1,2024-10-25,39.24,17.76
121.3,2024-10-26,38.54,17.87
166.3,2024-10-27,37.72,17.89
176.5,2024-10-28,37.75,18.15
157.9,2024-10-29,38.43,18.05
188.7,2024-10-30,37.53,18.17
248.9,2024-10-31,37.72,18.0
222.2,2024-11-01,37.32,18.67
210.3,2024-11-02,37.93,18.29
197.1,2024-11-03,37.76,18.21
228.5,2024-11-04,36.84,18.37
250.0,2024-11-05,38.25,18.09
257.4,2024-11-06,36.97,18.28
224.5,2024-11-07,37.11,18.5
226.9,2024-11-08,38.15,18.53
193.7,2024-11-09,36.97,19.0
198.6,2024-11-10,36.68,18.46
227.7,2024-11-11,36.53,18.59
231.8,2024-11-12,37.05,18.19
222.1,2024-11-13,36.28,18.84
221.3,2024-11-14,35.49,18.38
198.8,2024-11-15,35.69,19.03
203.1,2024-11-16,35.87,17.89
218.5,2024-11-17,35.97,18.81
234.1,2024-11-18,35.19,18.29
221.9,2024-11-19,35.88,18.25
154.9,2024-11-20,35.48,17.94
156.3,2024-11-21,35.12,18.42
118.3,2024-11-22,35.38,18.55
142.5,2024-11-23,36.3,17.74
150.6,2024-11-24,35.17,18.16
154.5,2024-11-25,35.19,17.82
124.6,2024-11-26,35.59,18.07
161.6,2024-11-27,35.04,18.02
124.0,2024-11-28,35.3,17.51
149.7,2024-11-29,35.24,17.27
103.4,2024-11-30,34.4,17.72
113.6,2024-12-01,35.23,17.96
146.9,2024-12-02,34.66,17.33
132.1,2024-12-03,34.77,17.63
117.4,2024-12-04,34.92,17.79
131.7,2024-12-05,34.42,17.38
140.4,2024-12-06,35.32,17.19
112.3,2024-12-07,35.38,17.41
115.5,2024-12-08,36.08,17.74
142.0,2024-12-09,34.85,17.48
150.2,2024-12-10,34.98,17.87
172.9,2024-12-11,35.99,17.1
157.9,2024-12-12,34.47,18.2
128.3,2024-12-13,35.06,17.59
116.4,2024-12-14,36.12,17.29
142.0,2024-12-15,35.13,17.94
129.0,2024-12-16,36.72,17.41
133.3,2024-12-17,35.49,17.37
158.5,2024-12-18,35.32,17.46
135.2,2024-12-19,35.94,16.87
112.6,2024-12-20,36.05,17.9
131.9,2024-12-21,35.93,17.67
138.6,2024-12-22,36.06,17.64
121.7,2024-12-23,36.47,17.5
142.5,2024-12-24,36.32,18.32
143.4,2024-12-25,36.21,17.9
140.6,2024-12-26,36.79,17.85
125.3,2024-12-27,36.86,18.27
106.3,2024-12-28,36.3,17.91
126.6,2024-12-29,37.32,17.97
132.4,2024-12-30,37.24,18.44
