demand,date,unit_price,unit_cost
356.6,2024-04-18,42.81,17.44
331.3,2024-04-19,42.19,17.49
326.6,2024-04-20,42.19,17.56
272.3,2024-04-21,41.3,17.7
332.3,2024-04-22,42.53,17.46
324.6,2024-04-23,42.29,17.34
380.3,2024-04-24,41.27,17.8
375.0,2024-04-25,41.37,17.23
344.0,2024-04-26,42.28,17.75
314.2,2024-04-27,41.26,17.42
334.7,2024-04-28,42.17,18.22
364.3,2024-04-29,41.55,18.66
403.2,2024-04-30,42.09,17.65
396.7,2024-05-01,42.14,18.33
315.9,2024-05-02,42.53,17.96
320.2,2024-05-03,40.62,17.97
340.5,2024-05-04,40.68,18.06
307.9,2024-05-05,41.25,18.36
338.9,2024-05-06,42.04,18.48
401.7,2024-05-07,41.33,18.12
403.9,2024-05-08,40.28,18.18
423.2,2024-05-09,41.29,18.74
374.8,2024-05-10,40.66,18.85
322.7,2024-05-11,41.21,18.14
349.3,2024-05-12,39.85,18.38
282.4,2024-05-13,40.76,18.79
375.4,2024-05-14,40.85,19.13
409.0,2024-05-15,39.52,18.57
311.8,2024-05-16,39.95,18.65
352.6,2024-05-17,39.96,18.22
353.3,2024-05-18,39.7,18.79
391.4,2024-05-19,39.03,18.61
399.8,2024-05-20,39.84,18.33
501.3,2024-05-21,38.75,18.41
493.8,2024-05-22,39.13,19.05
343.1,2024-05-23,39.21,18.8
363.2,2024-05-24,39.03,18.76
346.0,2024-05-25,39.03,17.98
363.2,2024-05-26,37.72,17.84
369.6,2024-05-27,37.39,17.68
449.7,2024-05-28,38.55,18.3
465.2,2024-05-29,38.53,17.7
353.2,2024-05-30,38.99,17.69
415.6,2024-05-31,38.1,18.31
335.2,2024-06-01,38.08,17.35
406.8,2024-06-02,37.36,18.01
421.2,2024-06-03,38.27,17.44
424.5,2024-06-04,38.76,17.79
535.2,2024-06-05,37.82,18.42
456.9,2024-06-06,38.25,17.78
385.2,2024-06-07,38.61,17.56
372.0,2024-06-08,38.62,17.54
472.9,2024-06-09,38.51,17.5
465.1,2024-06-10,38.59,17.39
479.5,2024-06-11,36.42,17.02
454.3,2024-06-12,37.22,17.25
604.7,2024-06-13,38.4,17.92
532.9,2024-06-14,37.44,17.88
425.9,2024-06-15,38.84,17.7
554.4,2024-06-16,38.15,17.51
574.8,2024-06-17,37.74,17.72
520.1,2024-06-18,39.06,17.63
569.1,2024-06-19,38.4,17.76
563.5,2024-06-20,38.35,18.07
547.9,2024-06-21,39.33,18.01
595.6,2024-06-22,38.96,17.57
513.2,2024-06-23,38.6,17.45
458.2,2024-06-24,38.78,17.14
640.9,2024-06-25,38.64,17.58
601.7,2024-06-26,40.41,17.83
489.1,2024-06-27,40.39,17.86
425.3,2024-06-28,39.89,17.94
453.7,2024-06-29,39.66,18.13
535.7,2024-06-30,40.39,18.36
384.5,2024-07-01,40.18,17.65
475.2,2024-07-02,40.81,17.87
443.3,2024-07-03,40.87,17.92
441.7,2024-07-04,40.72,18.46
426.8,2024-07-05,40.68,18.85
397.9,2024-07-06,41.25,18.41
345.3,2024-07-07,41.07,18.52
504.9,2024-07-08,40.35,18.26
368.5,2024-07-09,41.43,18.15
448.8,2024-07-10,42.29,18.27
392.6,2024-07-11,41.31,18.97
449.2,2024-07-12,41.71,18.49
330.1,2024-07-13,41.5,18.45
346.5,2024-07-14,41.88,18.7
372.0,2024-07-15,41.65,18.54
391.5,2024-07-16,43.04,18.83
432.0,2024-07-17,42.14,18.49
442.7,2024-07-18,41.96,18.56
361.7,2024-07-19,42.14,18.6
317.4,2024-07-20,42.05,18.24
373.3,2024-07-21,42.75,18.26
414.4,2024-07-22,41.66,18.54
481.0,2024-07-23,41.59,18.35
420.3,2024-07-24,42.26,18.09
425.0,2024-07-25,41.85,18.21
434.6,2024-07-26,41.6,18.93
338.9,2024-07-27,40.93,18.06
378.3,2024-07-28,41.8,17.83
399.4,2024-07-29,41.45,18.14
386.2,2024-07-30,42.21,18.46
448.4,2024-07-31,41.04,17.85
482.1,2024-08-01,41.7,17.79
494.1,2024-08-02,41.37,17.68
322.0,2024-08-03,40.96,17.37
416.8,2024-08-04,41.83,17.69
459.9,2024-08-05,41.8,18.0
500.5,2024-08-06,40.8,17.76
431.5,2024-08-07,40.73,17.64
441.6,2024-08-08,39.65,17.07
368.6,2024-08-09,41.03,17.45
390.5,2024-08-10,40.36,17.2
424.6,2024-08-11,40.88,16.71
397.9,2024-08-12,39.95,17.33
449.1,2024-08-13,40.31,17.69
486.4,2024-08-14,40.12,17.22
455.2,2024-08-15,40.01,17.26
363.0,2024-08-16,39.4,18.06
419.0,2024-08-17,39.15,17.75
391.1,2024-08-18,38.78,17.95
409.6,2024-08-19,39.32,18.0
435.9,2024-08-20,38.67,17.83
473.2,2024-08-21,39.22,17.65
464.1,2024-08-22,37.9,17.85
337.6,2024-08-23,39.42,18.19
330.7,2024-08-24,38.9,17.88
309.5,2024-08-25,38.58,17.9
416.2,2024-08-26,38.06,17.96
445.3,2024-08-27,37.96,18.23
420.3,2024-08-28,38.06,17.85
370.1,2024-08-29,38.55,18.56
430.6,2024-08-30,38.27,18.4
417.2,2024-08-31,38.33,17.96
424.3,2024-09-01,38.54,18.74
394.2,2024-09-02,38.37,17.74
427.9,2024-09-03,38.45,17.6
434.3,2024-09-04,38.0,18.52
400.9,2024-09-05,37.51,18.14
328.7,2024-09-06,38.74,18.22
329.1,2024-09-07,38.71,18.59
386.5,2024-09-08,37.23,18.79
385.4,2024-09-09,38.01,19.15
395.3,2024-09-10,39.33,18.64
410.5,2024-09-11,38.87,18.28
475.5,2024-09-12,38.82,18.68
423.4,2024-09-13,37.22,18.4
383.3,2024-09-14,38.27,18.32
355.9,2024-09-15,38.16,18.8
335.2,2024-09-16,38.58,18.84
414.7,2024-09-17,38.7,17.87
399.8,2024-09-18,39.37,18.71
416.5,2024-09-19,38.7,18.42
396.4,2024-09-20,38.98,18.49
314.3,2024-09-21,38.74,17.99
391.1,2024-09-22,38.6,17.92
372.9,2024-09-23,39.65,18.05
402.2,2024-09-24,40.15,18.31
382.5,2024-09-25,39.72,18.04
376.3,2024-09-26,40.58,17.93
353.7,2024-09-27,39.8,18.26
323.0,2024-09-28,40.42,17.69
325.1,2024-09-29,39.27,17.3
348.9,2024-09-30,40.61,17.97
478.2,2024-10-01,41.44,17.42
387.8,2024-10-02,40.34,17.79
404.6,2024-10-03,41.07,18.02
345.5,2024-10-04,41.15,17.39
240.7,2024-10-05,40.91,17.44
448.5,2024-10-06,41.3,17.16
355.1,2024-10-07,41.19,17.52
361.1,2024-10-08,41.03,17.29
441.5,2024-10-09,41.48,16.95
425.5,2024-10-10,41.43,17.41
316.7,2024-10-11,41.71,17.77
290.1,2024-10-12,40.61,17.09
293.7,2024-10-13,41.6,17.54
359.4,2024-10-14,42.4,17.27
379.1,2024-10-15,42.24,16.94
409.3,2024-10-16,42.55,17.93
354.6,2024-10-17,41.94,17.67
311.4,2024-10-18,42.51,17.6
312.0,2024-10-19,42.82,17.37
296.4,2024-10-20,41.77,17.08
362.5,2024-10-21,41.95,17.94
380.3,2024-10-22,43.47,17.51
391.2,2024-10-23,41.72,18.31
366.9,2024-10-24,40.97,17.6
307.4,2024-10-25,42.65,17.76
253.7,2024-10-26,41.89,17.87
348.3,2024-10-27,41.0,17.89
369.9,2024-10-28,41.03,18.15
331.2,2024-10-29,41.77,18.05
396.0,2024-10-30,40.79,18.17
522.7,2024-10-31,41.0,18.0
467.0,2024-11-01,40.56,18.67
442.2,2024-11-02,41.23,18.29
414.8,2024-11-03,41.04,18.21
481.1,2024-11-04,40.04,18.37
526.8,2024-11-05,41.58,18.09
542.8,2024-11-06,40.19,18.28
473.6,2024-11-07,40.34,18.5
478.9,2024-11-08,41.47,18.53
409.1,2024-11-09,40.18,19.0
419.8,2024-11-10,39.87,18.46
481.5,2024-11-11,39.71,18.59
490.5,2024-11-12,40.27,18.19
470.4,2024-11-13,39.43,18.84
469.0,2024-11-14,38.58,18.38
421.6,2024-11-15,38.79,19.03
431.0,2024-11-16,38.99,17.89
463.8,2024-11-17,39.1,18.81
497.3,2024-11-18,38.25,18.29
471.7,2024-11-19,39.0,18.25
329.4,2024-11-20,38.57,17.94
332.8,2024-11-21,38.17,18.42
251.9,2024-11-22,38.46,18.55
303.8,2024-11-23,39.46,17.74
321.1,2024-11-24,38.23,18.16
329.6,2024-11-25,38.25,17.82
266.1,2024-11-26,38.69,18.07
345.4,2024-11-27,38.09,18.02
265.1,2024-11-28,38.37,17.51
320.3,2024-11-29,38.3,17.27
221.3,2024-11-30,37.39,17.72
243.3,2024-12-01,38.29,17.96
314.8,2024-12-02,37.67,17.33
283.3,2024-12-03,37.79,17.63
252.0,2024-12-04,37.96,17.79
282.8,2024-12-05,37.41,17.38
301.6,2024-12-06,38.39,17.19
241.5,2024-12-07,38.46,17.41
248.5,2024-12-08,39.22,17.74
305.7,2024-12-09,37.88,17.48
323.6,2024-12-10,38.02,17.87
372.7,2024-12-11,39.12,17.1
340.5,2024-12-12,37.47,18.2
276.9,2024-12-13,38.11,17.59
251.3,2024-12-14,39.26,17.29
306.9,2024-12-15,38.19,17.94
279.0,2024-12-16,39.91,17.41
288.3,2024-12-17,38.58,17.37
343.1,2024-12-18,38.39,17.46
292.9,2024-12-19,39.07,16.87
244.0,2024-12-20,39.19,17.9
286.0,2024-12-21,39.05,17.67
300.7,2024-12-22,39.2,17.64
264.2,2024-12-23,39.64,17.5
309.6,2024-12-24,39.48,18.32
311.8,2024-12-25,39.36,17.9
306.0,2024-12-26,39.99,17.85
272.8,2024-12-27,40.07,18.27
231.5,2024-12-28,39.46,17.91
276.0,2024-12-29,40.56,17.97
288.8,2024-12-30,40.48,18.44
