date,demand,unit_price,unit_cost
2024-07-21,286.9,42.75,18.26
2024-07-22,318.3,41.66,18.54
2024-07-23,369.2,41.59,18.35
2024-07-24,322.4,42.26,18.09
2024-07-25,325.8,41.85,18.21
2024-07-26,332.9,41.6,18.93
2024-07-27,259.4,40.93,18.06
2024-07-28,289.4,41.8,17.83
2024-07-29,305.3,41.45,18.14
2024-07-30,295.0,42.21,18.46
2024-07-31,342.3,41.04,17.85
2024-08-01,367.8,41.7,17.79
2024-08-02,376.7,41.37,17.68
2024-08-03,245.3,40.96,17.37
2024-08-04,317.3,41.83,17.69
2024-08-05,349.9,41.8,18.0
2024-08-06,380.5,40.8,17.76
2024-08-07,327.8,40.73,17.64
2024-08-08,335.3,39.65,17.07
2024-08-09,279.7,41.03,17.45
2024-08-10,296.1,40.36,17.2
2024-08-11,321.7,40.88,16.71
2024-08-12,301.3,39.95,17.33
2024-08-13,339.8,40.31,17.69
2024-08-14,367.8,40.12,17.22
2024-08-15,344.0,40.01,17.26
2024-08-16,274.1,39.4,18.06
2024-08-17,316.2,39.15,17.75
2024-08-18,294.9,38.78,17.95
2024-08-19,308.7,39.32,18.0
2024-08-20,328.3,38.67,17.83
2024-08-21,356.1,39.22,17.65
2024-08-22,349.0,37.9,17.85
2024-08-23,253.7,39.42,18.19
2024-08-24,248.4,38.9,17.88
2024-08-25,232.3,38.58,17.9
2024-08-26,312.2,38.06,17.96
2024-08-27,333.8,37.96,18.23
2024-08-28,314.8,38.06,17.85
2024-08-29,277.0,38.55,18.56
2024-08-30,322.1,38.27,18.4
2024-08-31,311.9,38.33,17.96
2024-09-01,317.0,38.54,18.74
2024-09-02,294.3,38.37,17.74
2024-09-03,319.2,38.45,17.6
2024-09-04,323.8,38.0,18.52
2024-09-05,298.7,37.51,18.14
2024-09-06,244.7,38.74,18.22
2024-09-07,244.9,38.71,18.59
2024-09-08,287.4,37.23,18.79
2024-09-09,286.4,38.01,19.15
2024-09-10,293.5,39.33,18.64
2024-09-11,304.6,38.87,18.28
2024-09-12,352.6,38.82,18.68
2024-09-13,313.8,37.22,18.4
2024-09-14,283.9,38.27,18.32
2024-09-15,263.4,38.16,18.8
2024-09-16,247.9,38.58,18.84
2024-09-17,306.5,38.7,17.87
2024-09-18,295.3,39.37,18.71
2024-09-19,307.4,38.7,18.42
2024-09-20,292.4,38.98,18.49
2024-09-21,231.7,38.74,17.99
2024-09-22,288.1,38.6,17.92
2024-09-23,274.5,39.65,18.05
2024-09-24,295.9,40.15,18.31
2024-09-25,281.2,39.72,18.04
2024-09-26,276.5,40.58,17.93
2024-09-27,259.7,39.8,18.26
2024-09-28,237.0,40.42,17.69
2024-09-29,238.4,39.27,17.3
2024-09-30,255.7,40.61,17.97
2024-10-01,350.2,41.44,17.42
2024-10-02,283.8,40.34,17.79
2024-10-03,295.9,41.07,18.02
2024-10-04,252.5,41.15,17.39
2024-10-05,175.8,40.91,17.44
2024-10-06,327.4,41.3,17.16
2024-10-07,259.0,41.19,17.52
2024-10-08,263.2,41.03,17.29
2024-10-09,321.6,41.48,16.95
2024-10-10,309.8,41.43,17.41
2024-10-11,230.4,41.71,17.77
2024-10-12,210.9,40.61,17.09
2024-10-13,213.4,41.6,17.54
2024-10-14,261.0,42.4,17.27
2024-10-15,275.1,42.24,16.94
2024-10-16,296.8,42.55,17.93
2024-10-17,257.0,41.94,17.67
2024-10-18,225.5,42.51,17.6
2024-10-19,225.8,42.82,17.37
2024-10-20,214.4,41.77,17.08
2024-10-21,262.0,41.95,17.94
2024-10-22,274.7,43.47,17.51
2024-10-23,282.4,41.72,18.31
2024-10-24,264.7,40.97,17.6
2024-10-25,221.6,42.65,17.76
2024-10-26,182.8,41.89,17.87
2024-10-27,250.8,41.0,17.89
2024-10-28,266.2,41.03,18.15
2024-10-29,238.2,41.77,18.05
2024-10-30,284.6,40.79,18.17
2024-10-31,375.4,41.0,18.0
2024-11-01,335.2,40.56,18.67
2024-11-02,317.2,41.23,18.29
2024-11-03,297.3,41.04,18.21
2024-11-04,344.6,40.04,18.37
2024-11-05,377.1,41.58,18.09
2024-11-06,388.3,40.19,18.28
2024-11-07,338.6,40.34,18.5
2024-11-08,342.2,41.47,18.53
2024-11-09,292.1,40.18,19.0
2024-11-10,299.6,39.87,18.46
2024-11-11,343.4,39.71,18.59
2024-11-12,349.6,40.27,18.19
2024-11-13,335.0,39.43,18.84
2024-11-14,333.8,38.58,18.38
2024-11-15,299.9,38.79,19.03
2024-11-16,306.4,38.99,17.89
2024-11-17,329.5,39.1,18.81
2024-11-18,353.1,38.25,18.29
2024-11-19,334.7,39.0,18.25
2024-11-20,233.6,38.57,17.94
2024-11-21,235.8,38.17,18.42
2024-11-22,178.4,38.46,18.55
2024-11-23,215.0,39.46,17.74
2024-11-24,227.1,38.23,18.16
2024-11-25,233.0,38.25,17.82
2024-11-26,188.0,38.69,18.07
2024-11-27,243.8,38.09,18.02
2024-11-28,187.0,38.37,17.51
2024-11-29,225.8,38.3,17.27
2024-11-30,155.9,37.39,17.72
2024-12-01,171.3,38.29,17.96
2024-12-02,221.5,37.67,17.33
2024-12-03,199.2,37.79,17.63
2024-12-04,177.1,37.96,17.79
2024-12-05,198.6,37.41,17.38
2024-12-06,211.7,38.39,17.19
2024-12-07,169.4,38.46,17.41
2024-12-08,174.2,39.22,17.74
2024-12-09,214.2,37.88,17.48
2024-12-10,226.6,38.02,17.87
2024-12-11,260.8,39.12,17.1
2024-12-12,238.1,37.47,18.2
2024-12-13,193.5,38.11,17.59
2024-12-14,175.5,39.26,17.29
2024-12-15,214.2,38.19,17.94
2024-12-16,194.6,39.91,17.41
2024-12-17,201.0,38.58,17.37
2024-12-18,239.0,38.39,17.46
2024-12-19,203.9,39.07,16.87
2024-12-20,169.8,39.19,17.9
2024-12-21,198.9,39.05,17.67
2024-12-22,209.0,39.2,17.64
2024-12-23,183.5,39.64,17.5
2024-12-24,214.9,39.48,18.32
2024-12-25,216.3,39.36,17.9
2024-12-26,212.1,39.99,17.85
2024-12-27,189.0,40.07,18.27
2024-12-28,160.3,39.46,17.91
2024-12-29,191.0,40.56,17.97
2024-12-30,199.7,40.48,18.44
